natures_of_crimes,case_numbers,date_reported,time_reported,date_occurred,time_occurred,general_location,disposition,year_reported,year_occured
Sick Person,18-0334,NA,10:10am,NA,10:08am,HU Hospital,NA,NA,NA
Sick Person,18-0335,NA,10:39am,NA,10:38am,HU Hospital,NA,NA,NA
Fire Alarm Activation,18-0336,NA,1:07pm,NA,7:20am,HU Hospital,NA,NA,NA
Miscellaneous,18-0337,NA,1:30pm,NA,1:30pm,Drew Hall,NA,NA,NA
Damaged Property,18-0338,NA,1:43pm,NA,1:43pm,Upper Campus,NA,NA,NA
Sexual Assault,18-0339,NA,2:17pm,NA,2:00pm,On Campus,NA,NA,NA
Theft 1,18-0340,NA,2:29pm,NA,2:29pm,HUSC,NA,NA,NA
Sick Person,18-0341,NA,5:03pm,NA,5:03pm,HU Hospital,NA,NA,NA
Student Misconduct,18-0342,NA,6:12pm,NA,6:12pm,5126 North Capitol St. NW,NA,NA,NA
Fire Alarm Activation,18-0343,NA,11:26pm,NA,11:26pm,Pharmacy Building,NA,NA,NA
Theft from Auto,18-0344,NA,8:33am,NA,8:33am,WHUT,NA,NA,NA
Verbal Dispute,18-0345,NA,8:43am,NA,8:43am,C.B. Powell Building,NA,NA,NA
Damaged Property,18-0346,NA,9:00am,NA,10:20am,HUSC,NA,NA,NA
Damaged Property,18-0347,NA,12:27pm,NA,10:45am,HU Hospital,NA,NA,NA
Sick Person,18-0348,NA,2:22pm,NA,2:35pm,Architecture & Planning,NA,NA,NA
Theft from Auto,18-0349,NA,4:20pm,NA,4:20pm,Cook Hall,NA,NA,NA
Found Property,18-0350,NA,6:24pm,NA,4:21pm,HU Hospital,NA,NA,NA
Shoplifting,18-0351,NA,5:56pm,NA,5:56pm,Blackburn Center,NA,NA,NA
Sick Person,18-0352,NA,3:33am,NA,2:30am,HU Hospital,NA,NA,NA
Damaged Property,18-0353,NA,12:55pm,NA,12:55pm,Plaza Towers,NA,NA,NA
Burglary 2,18-0354,NA,12:48pm,NA,10:00am,Laser Research,NA,NA,NA
Fire Alarm Activation,18-0355,NA,1:53pm,NA,1:52pm,College Hall South,NA,NA,NA
Fire Alarm Activation,18-0356,NA,3:15pm,NA,3:13pm,College Hall South,NA,NA,NA
Loud Noise,18-0357,NA,1:06am,NA,1:06am,Off Campus,NA,NA,NA
Fire Alarm Activation,18-0358,NA,1:16pm,NA,1:16pm,Undergraduate Library,NA,NA,NA
Miscellaneous,18-0359,NA,5:01am,NA,5:01am,Drew Hall,NA,NA,NA
Found Property,18-0360,NA,7:27am,NA,7:15am,Service Center,NA,NA,NA
Theft 1,18-0361,NA,3:44pm,NA,3:43pm,Blackburn Center,NA,NA,NA
Fire Alarm Activation,18-0362,NA,5:50pm,NA,5:50pm,Founders Library,NA,NA,NA
Student Misconduct,18-0363,NA,8:16pm,NA,8:16pm,College Hall South,NA,NA,NA
Theft 2,18-0364,NA,1:17pm,NA,1:17pm,Chemistry Building,NA,NA,NA
Domestic Violence,18-0365,NA,2:29pm,NA,1:32pm,Howard Plaza Towers West,NA,NA,NA
Sick Person,18-0366,NA,11:37pm,NA,10:15pm,HU Hospital,NA,NA,NA
Fire Alarm Activation,18-0367,NA,11:45pm,NA,11:45pm,College Hall South,NA,NA,NA
Sick Person,18-0368,NA,8:21am,NA,8:10am,College Hall North,NA,NA,NA
Sick Person,18-0369,NA,9:38am,NA,9:38am,Greene Stadium,NA,NA,NA
Fire Alarm Activation,18-0370,NA,6:34pm,NA,6:34pm,Pharmacy Building,NA,NA,NA
Unlawful Entry,18-0371,NA,10:36pm,NA,10:36pm,Upper Campus,NA,NA,NA
Unlawful Entry,18-0372,NA,7:35am,NA,7:35am,Annex 3,NA,NA,NA
Vehicle Accident,18-0373,NA,8:35am,NA,8:35am,Dental Hall,NA,NA,NA
Harassment,18-0374,NA,9:40am,NA,9:40am,Off Campus,NA,NA,NA
Harassment,18-0375,NA,10:11am,NA,10:11am,On Campus,NA,NA,NA
Lost Property,18-0376,NA,,NA,10:03am,Greene Stadium,NA,NA,NA
Verbal Dispute,18-0377,NA,11:06am,NA,10:55am,Service Center,NA,NA,NA
Sick Person,18-0378,NA,2:22pm,NA,2:22pm,Locke Hall,NA,NA,NA
Student Misconduct,18-0379,NA,9:06pm,NA,9:06pm,WHUT,NA,NA,NA
Threats to do bodily harm,18-0380,NA,9:36pm,NA,8:50pm,College Hall North,NA,NA,NA
Injured Person,18-0381,NA,11:42pm,NA,4:25pm,Undergraduate Library,NA,NA,NA
Sick Person,18-0382,2003-01-18,1:52pm,2003-01-18,1:52pm,Cook Hall,NA,2003,2003
Damaged Property,18-0383,2003-01-18,7:41am,2003-01-18,7:41am,Douglass Hall,NA,2003,2003
Sick Person,18-0384,2003-01-18,9:46am,2003-01-18,9:46am,Middle School,NA,2003,2003
Student Misconduct,18-0385,2003-01-18,10:25am,2003-01-18,10:25am,Quadrangle Hall,NA,2003,2003
Miscellaneous,18-0386,2003-01-18,12:59pm,2003-01-18,12:40pm,HU Hospital,NA,2003,2003
Simple Assault,18-0387,2003-01-18,5:26pm,2003-01-18,5:26pm,College Hall North,NA,2003,2003
Harassment,18-0388,2003-01-18,7:02pm,2003-01-18,7:02pm,Administration Building,NA,2003,2003
Lost Property,18-0389,2003-01-18,8:19pm,2003-01-18,8:37pm,Upper Campus,NA,2003,2003
Found Property,18-0390,2003-02-18,3:43am,2003-02-18,3:43am,Architecture Planning,NA,2003,2003
Injured Person,18-0391,2003-02-18,8:49am,2003-02-18,7:32am,SOCC,NA,2003,2003
Vehicle Accident,18-0392,2003-02-18,10:54am,2003-02-18,10:05am,Service Center,NA,2003,2003
Damaged Property,18-0393,2003-02-18,12:30pm,2003-02-18,12:15pm,Childers Lot,NA,2003,2003
Miscellaneous,18-0394,2003-02-18,7:37pm,2003-02-18,5:30pm,HU Hospital,NA,2003,2003
Simple Assault,18-0395,2003-03-18,12:10pm,2003-03-18,11:30pm,HU Hospital,NA,2003,2003
Fire Alarm Activation,18-0396,2003-03-18,1:49am,2003-03-18,1:49am,College Hall South,NA,2003,2003
Sick Transport,18-0397,2003-03-18,2:52am,2003-03-18,2:50am,Quadrangle Hall,NA,2003,2003
Health & Welfare Check,18-0398,2003-04-18,7:01am,2003-04-18,7:01am,Howard Plaza Towers West,NA,2003,2003
Damaged Property,18-0399,2003-04-18,7:37am,2003-04-18,7:37am,"""Florida Ave.",NA,2003,2003
Theft 2,18-0400,2003-04-18,7:14pm,2003-04-18,7:13pm,Greene Stadium,NA,2003,2003
Fire Alarm Activation,18-0401,2003-05-18,,2003-05-18,3:18am,College Hall South,NA,2003,2003
Burglary 2,18-0402,2003-05-18,11:11am,2003-05-18,11:11am,Carnegie Hall,NA,2003,2003
Student Misconduct,18-0403,2003-05-18,5:26pm,2003-05-18,5:26pm,Howard Plaza Towers West,NA,2003,2003
Hazardous Elevator,18-0404,2003-05-18,11:38pm,2003-05-18,11:38pm,Quadrangle Hall,NA,2003,2003
Sick Person,18-0405,2003-06-18,12:36pm,2003-06-18,11:27am,HU Hospital,NA,2003,2003
Fraud,18-0406,2003-06-18,3:41pm,NA,12:00pm,On Campus,NA,2003,NA
Injured Person,18-0407,2003-06-18,4:02pm,2003-06-18,4:25pm,Florida Ave NW Lot,NA,2003,2003
Sick Transport,18-0408,2003-06-18,6:28pm,2003-06-18,6:38pm,C.B. Powell Building,NA,2003,2003
ADW/Gun,18-0409,2003-07-18,3:34am,2003-07-18,3:34am,Off Campus,NA,2003,2003
Hazardous Water Leak,18-0410,2003-07-18,5:55am,2003-07-18,5:58am,Miner Building,NA,2003,2003
Vehicle Accident,18-0411,2003-07-18,8:55am,2003-07-18,8:56am,Upper Campus,NA,2003,2003
Suspicious Odor,18-0412,2003-07-18,6:36pm,2003-07-18,6:40pm,Service Center,NA,2003,2003
Harassment,18-0413,2003-07-18,8:28pm,2003-07-18,7:52pm,College Hall South,NA,2003,2003
Harassment,18-0414,2003-07-18,8:13pm,2003-07-18,8:13pm,College Hall South,NA,2003,2003
Sick Person,18-0415,2003-08-18,3:42am,2003-08-18,3:42am,Cook Hall,NA,2003,2003
Miscellaneous,18-0416,2003-08-18,10:00am,2003-08-18,10:00am,Middle School,NA,2003,2003
Damaged Property,18-0417,2003-08-18,5:49pm,2003-08-18,5:49pm,Engineering Parking Lot,NA,2003,2003
Fire,18-0418,2003-08-18,11:35pm,2003-08-18,11:35pm,Cook Hall,NA,2003,2003
Found Property,18-0419,2003-09-18,12:35am,2003-09-18,12:35am,Fine Arts Building,NA,2003,2003
Injured Person,18-0420,2003-09-18,3:31am,2003-09-18,3:30am,College Hall South,NA,2003,2003
Title 9,18-0421,2003-09-18,11:02am,2003-09-18,11:02am,Administration Building,NA,2003,2003
Lost Property,18-0422,2003-09-18,11:09am,2003-09-18,11:09am,Howard Plaza Towers,NA,2003,2003
Injured Person,18-0423,2003-09-18,11:51am,2003-09-18,11:45am,HU Service Center,NA,2003,2003
Fire Alarm Activation,18-0424,2003-09-18,12:43pm,2003-09-18,12:43pm,HU Service Center,NA,2003,2003
Found Property,18-0425,2003-09-18,12:25pm,2003-09-18,12:25pm,Founders Library,NA,2003,2003
Sick Person,18-0426,2003-09-18,1:16pm,2003-09-18,1:16pm,Biology Building,NA,2003,2003
Damaged Property,18-0427,2003-09-18,2:03pm,2003-05-18,11:00am,HU Hospital,NA,2003,2003
Theft 2,18-0428,2003-09-18,4:14pm,2003-07-18,3:00pm,HU Hospital,NA,2003,2003
Fire Alarm Activation,18-0429,2003-09-18,4:58pm,2003-09-18,4:58pm,Howard Plaza Towers West,NA,2003,2003
Theft 1,18-0430,2003-09-18,6:45pm,2003-09-18,6:45pm,College Hall South,NA,2003,2003
Verbal Dispute,18-0431,2003-10-18,12:12am,2003-10-18,12:12am,College Hall South,NA,2003,2003
Fire Alarm Activation,18-0432,2003-10-18,1:14am,2003-10-18,1:14am,College Hall South,NA,2003,2003
Damaged Property,18-0433,2003-12-18,4:46am,2003-12-18,4:46am,Medical Arts Building,NA,2003,2003
Fire Alarm Activation,18-0434,2003-12-18,8:54am,2003-12-18,8:45am,College Hall North,NA,2003,2003
Shoplifting,18-0435,2003-12-18,9:33am,2003-12-18,9:33am,Bookstore,NA,2003,2003
Theft 1,18-0436,2003-12-18,11:43am,2003-12-18,10:00am,Howard Plaza Towers,NA,2003,2003
Theft 1,18-0437,2003-12-18,7:45pm,2003-12-18,3:58pm,HU Hospital,NA,2003,2003
Hazardous Elevator,18-0438,2003-12-18,8:48pm,2003-12-18,3:25pm,HU Hospital,NA,2003,2003
Theft 1,18-0439,2003-12-18,10:45pm,2003-12-18,10:45pm,Drew Hall,NA,2003,2003
Sick Person,18-0440,NA,6:53am,NA,2:38am,Off Campus,NA,NA,NA
Fire Alarm Activation,18-0441,NA,1:55am,NA,1:55am,Howard Plaza Towers,NA,NA,NA
Injured Person,18-0442,NA,9:33am,NA,3:30pm,Off Campus,NA,NA,NA
Hazardous Water Leak,18-0443,NA,8:10am,NA,8:10am,Dental School,NA,NA,NA
Sick Person,18-0444,NA,6:46pm,NA,6:45pm,College Hall North,NA,NA,NA
Miscellaneous,18-0445,NA,4:24pm,NA,4:24pm,Bookstore,NA,NA,NA
Fire Alarm Activation,18-0446,NA,6:18pm,NA,6:16pm,Blackburn Center,NA,NA,NA
Sick Person,18-0447,NA,6:36pm,NA,5:44pm,College Hall South,NA,NA,NA
Hazardous Water Leak,18-0448,NA,8:23am,NA,8:23am,Biology Building,NA,NA,NA
Theft 2,18-0449,NA,10:05am,NA,10:05am,Mental Health clinic,NA,NA,NA
Theft 2,18-0450,NA,2:58pm,NA,10:10am,Mental Health clinic,NA,NA,NA
Fire Alarm Activation,18-0451,NA,5:32pm,NA,5:32pm,Dental School,NA,NA,NA
Theft 2,18-0452,NA,6:56pm,NA,6:03pm,HU Hospital,NA,NA,NA
Damaged Property,18-0453,NA,2:59am,NA,2:59am,Lower Campus,NA,NA,NA
ADW/Gun,18-0454,NA,3:09am,NA,2:59am,Upper Campus,NA,NA,NA
Miscellaneous,18-0455,NA,2:32pm,NA,2:32pm,West Campus,NA,NA,NA
Sick Person,18-0456,NA,12:40am,NA,12:40am,Cook Hall,NA,NA,NA
Theft 2,18-0457,NA,1:05pm,NA,12:04pm,HU Hospital,NA,NA,NA
Fire Alarm Activation,18-0458,NA,2:09pm,NA,2:09pm,Quadrangle Hall,NA,NA,NA
Damaged Property,18-0459,NA,9:01pm,NA,9:01pm,Plaza Towers,NA,NA,NA
Fire Alarm Activation,18-0460,NA,10:19pm,NA,10:19pm,Service Center,NA,NA,NA
Hazardous Water Leak,18-0461,NA,12:42am,NA,12:42am,Cramton Auditorium,NA,NA,NA
Fire Alarm Activation,18-0462,NA,3:42am,NA,3:42am,College Hall South,NA,NA,NA
Sick Person,18-0463,NA,5:35am,NA,4:00am,HU Hospital,NA,NA,NA
Fire Alarm Activation,18-0464,NA,6:28am,NA,6:28am,Pharmacy Building,NA,NA,NA
Fire Alarm Activation,18-0465,NA,6:33am,NA,6:33am,Early Learning Center,NA,NA,NA
Hazardous Water Leak,18-0466,NA,11:01am,NA,11:01am,Administration Building,NA,NA,NA
Student Misconduct,18-0467,NA,12:04pm,NA,11:30am,Bethune Annex,NA,NA,NA
Vehicle Accident,18-0468,NA,1:17pm,NA,1:17pm,On Campus,NA,NA,NA
Theft 2,18-0469,NA,3:44pm,NA,3:44pm,Pharmacy Building,NA,NA,NA
Sick Transport,18-0470,NA,6:39pm,NA,6:39pm,Quadrangle Hall,NA,NA,NA
Sick Person,18-0471,NA,2:55am,NA,2:30am,HU Hospital,NA,NA,NA
Lost Property,18-0472,NA,8:45am,NA,8:30am,On Campus,NA,NA,NA
Theft 1,18-0473,NA,10:09am,NA,10:09am,Howard University Hospital,NA,NA,NA
Recovered Property,18-0474,NA,11:08am,NA,10:28am,Howard University Hospital,NA,NA,NA
Howard University,18-0475,NA,3:47pm,NA,3:45pm,HURB-1,NA,NA,NA
Injured Person,18-0476,NA,7:40pm,NA,3:23pm,HU Hospital,NA,NA,NA
Hazardous Water Leak,18-0477,NA,8:06pm,NA,8:06pm,Fine Arts Building,NA,NA,NA
Sick Transport,18-0478,NA,2:27am,NA,2:27am,Blackburn Center,NA,NA,NA
Lost Property,18-0479,NA,9:00am,NA,8:39am,HU Hospital,NA,NA,NA
Sick Person,18-0480,NA,5:36pm,NA,5:36pm,HU Hospital,NA,NA,NA
Hazardous Water Leak,18-0481,NA,8:52pm,NA,9:41pm,Wonder Plaza,NA,NA,NA
Sick Person,18-0482,NA,3:14am,NA,2:10am,HU Hospital,NA,NA,NA
Sick Person,18-0483,NA,5:55am,NA,5:45am,HU Hospital,NA,NA,NA
Panhandling,18-0484,NA,7:54am,NA,7:35am,HU Hospital,NA,NA,NA
Injured Person,18-0485,NA,8:10am,NA,8:05am,Dispatch,NA,NA,NA
Miscellaneous,18-0486,NA,9:23am,NA,9:19am,HH Service Center,NA,NA,NA
Simple Assault /Threat,18-0487,NA,2:28pm,NA,2:28pm,College Hall South,NA,NA,NA
Hazardous Water Leak,18-0488,NA,6:42pm,NA,6:42pm,School of Business,NA,NA,NA
Sick Transport,18-0489,NA,8:17pm,NA,8:35pm,Drew Hall,NA,NA,NA
Student Misconduct,18-0490,NA,8:04pm,NA,8:47pm,College Hall South,NA,NA,NA
Attempt Suicide,18-0491,NA,11:08pm,NA,11:08pm,Drew Hall,NA,NA,NA
Howard University,18-0492,NA,11:38pm,NA,11:38pm,Engineering Building,NA,NA,NA
Sick Person,18-0493,NA,6:12am,NA,6:12am,Cook Hall,NA,NA,NA
Hazardous Elevator,18-0494,NA,9:59am,NA,10:13am,Physic Building,NA,NA,NA
Sick Person,18-0495,NA,12:02pm,NA,12:15pm,College Hall South,NA,NA,NA
Threats to do bodily harm,18-0496,NA,3:28pm,NA,12:22pm,Off Campus,NA,NA,NA
Theft 2,18-0497,NA,5:18pm,NA,4:30pm,College Hall North,NA,NA,NA
Found Property,18-0498,NA,5:19pm,NA,7:19pm,Plaza Towers,NA,NA,NA
Fire Alarm Activation,18-0499,NA,6:26am,NA,6:26am,Architecture & Planning,NA,NA,NA
Theft 2,18-0500,NA,12:12pm,NA,11:55am,600 block of W St. NW,NA,NA,NA
Injured Person,18-0501,NA,9:15pm,NA,9:05pm,HU Hospital,NA,NA,NA
Miscellaneous,18-0502,NA,9:02pm,NA,9:02pm,Quadrangle Hall,NA,NA,NA
Sick Person,18-0503,NA,9:55pm,NA,9:52pm,HU Hospital,NA,NA,NA
Sick Person,18-0504,NA,4:16am,NA,4:16am,Quadrangle Hall,NA,NA,NA
Domestic Violence,18-0505,NA,1:17pm,NA,11:33am,HU Hospital,NA,NA,NA
Found Property,18-0506,NA,2:15pm,NA,2:00pm,Cramton Auditorium,NA,NA,NA
Fire Alarm Activation,18-0507,NA,5:56pm,NA,5:56pm,College Hall South,NA,NA,NA
Student Misconduct,18-0508,NA,9:08pm,NA,8:00pm,College Hall,NA,NA,NA
Student Misconduct,18-0509,NA,9:09pm,NA,8:31pm,College Hall South,NA,NA,NA
Student Misconduct,18-0510,NA,9:19pm,NA,8:31pm,College Hall South,NA,NA,NA
Found Property,18-0511,NA,1:42am,NA,1:30am,HU Hospital,NA,NA,NA
Sick Person,18-0512,NA,1:45am,NA,1:30am,HU Hospital,NA,NA,NA
Sick Person,18-0513,NA,2:51am,NA,2:51am,HU Hospital,NA,NA,NA
Found Property,18-0514,NA,6:15am,NA,6:15am,Howard Plaza Towers West,NA,NA,NA
Theft 2,18-0515,NA,11:25am,NA,NA,Mudd Building,NA,NA,NA
Lost Property,18-0516,NA,1:08pm,NA,1:08pm,HU Hospital,NA,NA,NA
Injured Person,18-0517,NA,1:28pm,NA,1:28pm,Mudd Building,NA,NA,NA
Theft 1,18-0518,NA,3:00pm,NA,2:35pm,Service Center,NA,NA,NA
Fire Alarm Activation,18-0519,NA,9:30pm,NA,9:30pm,College Hall South,NA,NA,NA
Theft I,18-0520,NA,10:38pm,NA,3:30pm,West Campus,NA,NA,NA
Lost Property,18-0521,NA,2:52pm,NA,1:55pm,HU Hospital,NA,NA,NA
Lost Property,18-0522,NA,3:38pm,NA,3:19pm,Founder Library,NA,NA,NA
Hazardous Elevator,18-0523,NA,8:03pm,NA,8:00pm,Quadrangle Hall,NA,NA,NA
Theft from Auto,18-0524,NA,10:52pm,NA,10:52pm,Engineering Building,NA,NA,NA
Student Misconduct,18-0525,NA,12:18am,NA,12:18am,Drew Hall,NA,NA,NA
Theft 1,18-0526,NA,12:37pm,NA,12:37pm,Engineering Building,NA,NA,NA
Injured Person,18-0527,NA,2:00pm,NA,2:00pm,HU Service Center,NA,NA,NA
Damaged Property,18-0528,NA,4:38pm,NA,2:45pm,West Campus,NA,NA,NA
Sick Transport,18-0529,NA,1:35am,NA,1:35am,College Hall South,NA,NA,NA
Injured Person,18-0530,NA,9:17am,NA,9:17am,Social Work,NA,NA,NA
Fire Alarm Activation,18-0531,NA,1:03pm,NA,1:03pm,Stokes Library,NA,NA,NA
Miscellaneous,18-0532,NA,3:22pm,NA,3:22pm,Medical Arts,NA,NA,NA
Sick Person,18-0533,NA,6:08pm,NA,6:08pm,Bethune Annex,NA,NA,NA
Found Property,18-0534,NA,6:51pm,NA,6:40pm,4th St. Gate,NA,NA,NA
Theft from Auto,18-0535,NA,6:29am,NA,3:30am,Lower Campus,NA,NA,NA
Fire Alarm Activation,18-0536,NA,8:05pm,NA,8:00pm,C.B. Powell Building,NA,NA,NA
Fire Alarm Activation,18-0537,2004-01-18,1:05am,2004-01-18,1:05am,C.B. Powell Building,NA,2004,2004
Student Misconduct,18-0538,2004-01-18,8:48pm,2004-01-18,8:45pm,Annex 3,NA,2004,2004
Sick Person,18-0539,2004-02-18,1:06am,2004-02-18,12:00am,HU Hospital,NA,2004,2004
Student Misconduct/Threat,18-0540,2004-02-18,12:23am,2004-02-18,12:23am,College Hall South,NA,2004,2004
Student Misconduct,18-0541,2004-02-18,1:17am,2004-02-18,1:17am,College Hall South,NA,2004,2004
Fire Alarm Activation,18-0542,2004-02-18,3:25pm,2004-02-18,3:25pm,Architecture & Planning,NA,2004,2004
Injured Person,18-0543,2004-02-18,5:26pm,2004-02-18,5:26pm,Whut,NA,2004,2004
Simple Assault /Domestic Violence,18-0544,2004-02-18,5:51pm,2004-02-18,5:51pm,Bethune Annex,NA,2004,2004
Sick Person,18-0545,2004-03-18,7:04am,2004-03-18,7:04am,Bethune Annex,NA,2004,2004
Fraud,18-0546,2004-03-18,5:42pm,2004-03-18,5:42pm,6th ST & Fairmont #8,NA,2004,2004
Harassment,18-0547,2004-03-18,3:45pm,2004-03-18,3:45pm,Fine Arts,NA,2004,2004
Student Misconduct,18-0548,2004-03-18,11:25pm,2004-03-18,11:25pm,College Hall North,NA,2004,2004
Theft 1,18-0549,2004-04-18,9:24am,2004-04-18,9:24am,Howard Plaza Towers East,NA,2004,2004
Student  Misconduct,18-0550,2004-04-18,10:20am,2004-04-18,10:17am,Founder Library,NA,2004,2004
Armed Robbery,18-0551,2004-04-18,5:15pm,2004-04-18,5:15pm,Drew Hall,NA,2004,2004
Destruction of Property,18-0552,2004-05-18,12:06am,2004-05-18,12:06am,HU Hospital,NA,2004,2004
Damaged Property,18-0553,2004-05-18,12:10pm,2004-02-18,8:09am,A-1 rear Parking Lot,NA,2004,2004
Simple Assault,18-0554,2004-05-18,12:42pm,2004-05-18,12:35pm,Locke Hall,NA,2004,2004
Sick Person,18-0555,2004-05-18,3:35pm,2004-05-18,3:00pm,HU Hospital,NA,2004,2004
Fraud,18-0556,2004-05-18,3:43pm,2004-05-18,3:30pm,Off Campus,NA,2004,2004
Miscellaneous,18-0557,2004-05-18,7:06pm,2004-05-18,7:25pm,School of Business,NA,2004,2004
Simple Assault/Student Misconduct,18-0558,2004-05-18,7:20pm,2004-05-18,7:20pm,Quadrangle Hall,NA,2004,2004
Simple Assault,18-0559,2004-05-18,12:49pm,2004-05-18,12:49pm,College Hall South,NA,2004,2004
Hazardous Elevator,18-0560,2004-05-18,2:24pm,2004-05-18,2:18pm,Blackburn Center,NA,2004,2004
Injured Person,18-0561,2004-06-18,3:42pm,2004-06-18,3:30pm,1620 V St. NW,NA,2004,2004
Loud Noise,18-0562,2004-07-18,2:03am,2004-07-18,2:15am,Off Campus,NA,2004,2004
Simple Assault,18-0563,2004-07-18,3:50am,2004-07-18,3:50am,Howard Plaza Towers West,NA,2004,2004
Threats to do bodily harm,18-0564,2004-07-18,10:30am,2004-07-18,9:00am,HU Hospital,NA,2004,2004
Recovered Property,18-0565,2004-07-18,11:17am,2004-07-18,11:17am,Plaza Towers,NA,2004,2004
Found Property,18-0566,2004-07-18,1:40pm,2004-07-18,1:40pm,Admin. Building,NA,2004,2004
Lost Property,18-0567,2004-07-18,11:04am,2004-07-18,11:04am,Drew Hall,NA,2004,2004
Injured Person,18-0568,2004-07-18,3:09pm,2004-07-18,3:00pm,Fine Art Building,NA,2004,2004
Stolen Auto,18-0569,2004-07-18,3:48pm,2004-07-18,12:07pm,"""Ga. Ave.",NA,2004,2004
Fire Alarm Activation,18-0570,2004-08-18,2:58am,2004-08-18,2:58am,Pharmacy Building,NA,2004,2004
Hazardous Elevator,18-0571,2004-08-18,3:28am,2004-08-18,3:28am,Quadrangle Hall,NA,2004,2004
Miscellaneous,18-0572,2004-08-18,8:36am,2004-08-18,8:35am,Locke Hall,NA,2004,2004
Hazardous Elevator,18-0573,2004-08-18,9:20am,2004-08-18,9:20am,West Campus,NA,2004,2004
Lost Property,18-0574,2004-08-18,12:03pm,2004-08-18,10:58am,HU Hospital,NA,2004,2004
Sick Person,18-0575,2004-09-18,2:03am,2004-09-18,2:00am,HU Hospital,NA,2004,2004
Disorderly Conduct,18-0576,2004-09-18,10:32am,2004-09-18,8:30am,HU Hospital,NA,2004,2004
Theft 2,18-0577,2004-09-18,10:29am,2004-09-18,10:29am,Admin. Building,NA,2004,2004
Lost Property,18-0578,2004-09-18,12:04pm,2004-09-18,12:04pm,Dispatch,NA,2004,2004
Vehicle Accident,18-0579,2004-09-18,6:29pm,2004-09-18,6:29pm,2200 block of 4th St. NW,NA,2004,2004
Sick Person,18-0580,2004-09-18,6:39pm,2004-09-18,6:39pm,Bethune Annex,NA,2004,2004
Fire Alarm Activation,18-0581,2004-09-18,7:43pm,2004-09-18,7:43pm,College Hall South,NA,2004,2004
Sick Person,18-0582,2004-09-18,9:26pm,2004-09-18,9:20pm,Fine Art Building,NA,2004,2004
Injured Person,18-0583,2004-09-18,11:42pm,2004-09-18,9:48pm,HU Hospital,NA,2004,2004
Fire Alarm Activation,18-0584,2004-10-18,6:01am,2004-10-18,6:01am,College Hall North,NA,2004,2004
Miscellaneous,18-0585,2004-10-18,10:30am,2004-10-18,10:30am,Chemistry Building,NA,2004,2004
Protest,18-0586,NA,7:00am,NA,7:00am,Admin. Building,NA,NA,NA
Sick Transport,18-0587,2004-10-18,3:59pm,2004-10-18,3:59pm,C.B. Powell Building,NA,2004,2004
Disorderly Conduct,18-0588,2004-10-18,9:17pm,2004-10-18,9:17pm,College Hall South,NA,2004,2004
Student Misconduct,18-0589,2004-10-18,10:35pm,2004-10-18,10:35pm,C.B. Powell Building,NA,2004,2004
Lost Property,18-0590,2004-10-18,11:46pm,2004-10-18,11:46pm,College Hall North,NA,2004,2004
Fire Alarm Activation,18-0591,2004-11-18,9:56am,2004-11-18,9:56am,College Hall North,NA,2004,2004
Simple Assault,18-0592,2004-11-18,11:15am,2004-11-18,10:42am,HU Hospital,NA,2004,2004
Sick Transport,18-0593,2004-11-18,11:18am,2004-11-18,10:00am,C.B. Powell Building,NA,2004,2004
Found Property,18-0594,2004-11-18,12:07pm,2004-11-18,12:07pm,Fine Art Building,NA,2004,2004
Damaged Property,18-0595,2004-11-18,6:02pm,2004-09-18,2:45pm,West Campus,NA,2004,2004
Sick Transport,18-0596,2004-11-18,9:43pm,2004-11-18,9:43pm,College Hall South,NA,2004,2004
Fire Alarm Activation,18-0597,2004-12-18,12:21pm,2004-11-18,12:10pm,West Campus,NA,2004,2004
Fire Alarm Activation,18-0598,2004-12-18,2:26pm,2004-12-18,2:26pm,College Hall South,NA,2004,2004
Found Property,18-0599,2004-12-18,2:51pm,2004-12-18,2:51pm,College Hall South,NA,2004,2004
Disorderly Conduct,18-0600,2004-12-18,10:01pm,2004-12-18,10:01pm,Wonder Plaza,NA,2004,2004
Found Property,18-0601,NA,1:29am,NA,1:29am,Main Gate,NA,NA,NA
Fire Alarm Activation,18-0602,NA,8:54am,NA,8:54am,Mudd Building,NA,NA,NA
Damaged Property,18-0603,NA,11:05am,NA,11:05am,Fine Arts Building,NA,NA,NA
Hazardous Water Leak,18-0604,NA,9:52am,NA,9:52am,College Of Dentistry,NA,NA,NA
Injured Person,18-0605,NA,2:38pm,NA,12:00pm,HU Hospital,NA,NA,NA
Disorderly Conduct,18-0606,NA,1:00pm,NA,1:00pm,I-Lab,NA,NA,NA
Sick Person,18-0607,NA,3:34pm,NA,3:32pm,Blackburn Center,NA,NA,NA
Harassment,18-0608,NA,4:46pm,NA,4:46pm,HU Service Center,NA,NA,NA
Sick Person,18-0609,NA,8:38pm,NA,8:38pm,Cramton Auditorium,NA,NA,NA
Sick Person,18-0610,NA,9:34pm,NA,9:26pm,HU Hospital,NA,NA,NA
Sick Person,18-0611,NA,3:04am,NA,3:04am,Bethune Annex,NA,NA,NA
Damaged Property,18-0612,NA,6:49am,NA,6:49am,I-Lab,NA,NA,NA
Aggravated Assault,18-0613,NA,11:00am,NA,11:00am,4th & W St. NW,NA,NA,NA
Hazardous Elevator,18-0614,NA,6:52pm,NA,6:52pm,College Hall South,NA,NA,NA
