report_date,incident,incident_narrative,incident_number,date_occured,time_occured,general_location,disposition,year_occured,year_reported
2019-09-04,theft, a employee reported the theftof a parking pass,19-001140,2019-08-30,1330,leavey centergarage,case pending investigation,2019,2019
2019-09-04,burglary, a staff member reportedthat an unknown suspect gainedaccess to their unsecured officeand stole a backpack,19-001142,2019-09-04,1600,car barn,case pending investigation,2019,2019
2019-09-04,fraud, a student reported that theywere the victim of a computer andtelephone scam,19-001143,2019-09-03,1700,darnall hall,case pending investigationhandled by mpd ccn:19-157284,2019,2019
2019-09-06,theft, a employee reported the theftof a radio,19-001152,2019-07-17,NA,village c west,case pending investigation,2019,2019
2019-09-06,sexual assault, a student reportedthat they were sexually assaulted,19-001154,2019-09-01,0100,village c west,case referred to studentconduct,2019,2019
2019-09-07,sexual assault, a student reportedthat they were sexually assaulted,19-001161,2019-08-27,1400,darnall hall,case referred to studentconduct,2019,2019
2019-09-07,threats, a student reported thatthey were verbally threatened,19-001162,2019-08-27,NA,darnall hall,case referred to studentconduct,2019,2019
2019-09-07,theft, a student reported the theftof a bicycle,19-001163,2019-09-07,1845,darnall hall,case pending investigation,2019,2019
2019-09-09,stalking, a staff member reportedthat they were being stalked by a ex-boyfriend,19-001171,2019-09-04,0900,hoya kids,case pending investigation,2019,2019
2019-09-09,theft, a student reported the theftof a bicycle,19-001172,2019-09-09,1137,lxr,case pending investigation,2019,2019
2019-09-09,theft, a student reported the theftof a wallet,19-001175,2019-09-09,1700,yates field house,case pending investigation,2019,2019
2019-09-09,stalking, a student reported thatthey were being stalked,tix-514,2019-09-09,NA,on campushousing,case pending investigation,2019,2019
2019-09-11,theft, a student reported the theftof a backpack,19-001194,2019-09-11,1048,hariri building,case pending investigation,2019,2019
2019-09-11,simple assault, a student reportedthat they were physically assaulted,19-001199,2019-09-05,1300,yates field house,case referred to studentconduct,2019,2019
2019-09-11,theft, a student reported the theftof a laptop computer,19-001200,2019-09-11,1420,kennedy hall(printer room),case pending investigation,2019,2019
2019-09-11,stalking, a student reported thatthey were being stalked,tix-517,2019-09-06,NA,on campus publicproperty,case pending investigation,2019,2019
2019-09-13,theft, a student reported the theftof a gocard,19-001217,2019-09-13,1300,o'donovan hall,case pending investigation,2019,2019
2019-09-14,destruction of property, a gupdofficer reported that someonevandalized a vending machinecausing damage,19-001229,2019-09-14,0927,new north,case pending investigation,2019,2019
2019-09-14,theft, a student reported the theftof a backpack,19-001235,2019-09-14,0215,tondorf and northroads,case pending investigation,2019,2019
2019-09-14,alcohol violation,  a underagestudent was found in possession ofa beer,19-001237,2019-09-14,2216,village a,case referred to studentconduct,2019,2019
2019-09-15,simple assault bias related, astudent reported that they werephysically assaulted,fi19-0001,2019-04-15,0013,"3600 block ""o""street northwest",case closed with arrest /case referred to studentconduct,2019,2019
2019-09-15,drug violation,  a student wasfound in possession of marijuana,19-001247,2019-09-15,1819,henle village,case referred to studentconduct,2019,2019
2019-09-15,theft, a student reported the theftof a bicycle,19-001249,2019-09-15,1800,village c patiobicycle rack,case pending investigation,2019,2019
2019-09-16,theft, a student reported the theftof a laptop computer,19-001253,2019-09-16,1823,lauinger library,case pending investigationhandled by mpd ccn:19-165358,2019,2019
2019-09-18,theft, a student reported the theftof a laptop computer,19-001264,2019-09-18,1900,lauinger library,case pending investigation,2019,2019
2019-09-19,simple assault, a gupd officerreported that they were physicallyassaulted,19-001272,2019-09-19,0805,healy hall,case closed with arrestccn: 19-166960,2019,2019
2019-09-20,fraud, a non affiliate reported thatthey were the victim of a ticket scam,19-001281,2019-09-14,1700,leavey center cu,case pending investigationhandled by mpd ccn:19-167949,2019,2019
2019-09-20,robbery force & violence, astudent reported that they werephysically assaulted and robbed,19-001283,2019-09-20,1700,nevils,case pending investigationhandled by mpd ccn:19-168050,2019,2019
2019-09-22,drug violation,  a student wasfound in possession of marijuana,19-001309,2019-09-22,2208,mcdonoughgymnasium,case referred to studentconduct,2019,2019
2019-09-23,burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole a laptop,19-001310,2019-09-23,0830,1200 block 37thstreet northwest,case pending investigationhandled by mpd ccn:19-169686,2019,2019
2019-09-23,theft, a student reported the theftof a laptop computer,19-001312,2019-09-23,1140,healy familystudent center,case pending investigation,2019,2019
2019-09-23,burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole a wallet,19-001315,2019-09-23,1330,medical & dentalbuilding,case pending investigationhandled by mpd ccn:19-169861,2019,2019
2019-09-23,theft, a student reported the theftof a pair of boots,19-001317,2019-09-19,2000,village a,case pending investigation,2019,2019
2019-09-24,drug violation,  a student wasfound in possession of marijuana,19-001324,2019-09-24,1629,lxr,case referred to studentconduct,2019,2019
2019-09-24,theft, a student reported the theftof a backpack,19-001327,2019-09-24,0800,o'donovan hall,unfounded complainantlocated property at hfsclost and found,2019,2019
2019-09-25,stalking, a non gu affiliate reportedthat they were being stalked by anex-boyfriend,19-001331,NA,NA,georgetownuniversity medstarhospital,case pending investigation,NA,2019
2019-09-25,stalking, a student reported thatthey were being stalked,tix-526,2019-09-25,NA,on campus,case pending investigation,2019,2019
2019-09-25,sexual assault, a survivor reportedthat they were sexually assaulted(fondling),tix-527,2019-09-15,NA,on campushousing,case pending investigation,2019,2019
2019-09-26,theft, a student reported the theftof a laptop,19-001337,2019-09-26,1310,hariri building,case pending investigation,2019,2019
2019-09-27,stolen motor scooter, a studentreported the theft of a motorscooter,19-001346,2019-09-27,1620,leavey center,case pending investigation,2019,2019
2019-09-27,burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole a a black bag,19-001348,2019-09-27,1810,old north,case pending investigationhandled by mpd ccn:19-172616,2019,2019
2021-09-20,NA,NA,NA,NA,NA,NA,NA,NA,2021
2021-09-02,theft ii,a student reported the theft of abicycle,21-000829,2021-09-02,1317,hariri building,case pending investigation,2021,2021
2021-09-03,rape,a student reported that they weresexually assaulted,title ix - 824,2021-09-01,NA,residence hall,NA,2021,2021
2021-09-03,theft ii,a student reported the theft of abicycle,21-000850,2021-08-31,1736,alumni square,case pending investigation,2021,2021
2021-09-04,aggravated assault,a student reported that they werephysically assaulted,21-000862,2021-09-04,1639,"village ""a""",case pending investigation,2021,2021
2021-09-05,simple assault,a student reported that they werephysically assaulted,21-000876,2021-09-05,2105,henle village,case pending investigation,2021,2021
2021-09-07,burglary,a student reported someoneentered the secured observatoryand stole a piece of a telescope,21-000887,2021-08-27,1100,observatory,case pending investigation,2021,2021
2021-09-07,theft,a student reported the theft ofbackpack,21-000893,2021-09-07,1945,o'donovan hall,case pending investigation,2021,2021
2021-09-08,theft,a staff member reported the theftof a-frames and signs,21-000899,2021-08-29,0118,n st nw & 37th stnw,case pending investigation,2021,2021
2021-09-08,theft,a student reported the theft of abicycle,21-000900,2021-09-08,1600,prospect st nw &36th st nw,case pending investigation,2021,2021
2021-09-09,drug violation,a student was found in possessionof marijuana,21-000920,2021-09-09,2115,lxr,case referred to studentconduct,2021,2021
NA,theft,a student reported the theft of abicycle,21-000944,NA,0455,lxr,case pending investigation,NA,NA
2021-09-11,simple assault,a gu affiliate reported that theywere physically assaulted,21-000947,NA,1715,dahlgren chapel,complainant declined tofile criminal chargessubject identified andbarred,NA,2021
2021-09-12,public urination,a student reported observing anindividual urinating in public,21-000953,2021-09-12,0040,old north way,case pending investigation,2021,2021
2021-09-13,stalking,a student reported that they werebeing stalked,title ix - 837,2021-08-30,NA,residence hall,NA,2021,2021
2021-09-14,theft,a student reported the theft of abicycle,21-000965,2021-09-10,0231,leavey bridge,case pending investigation,2021,2021
2021-09-16,threats to do bodilyharm,a student reported they receivedthreatening text messages,21-000992,2021-09-16,1422,village a,case pending investigation,2021,2021
2021-09-17,attempt theft ii,a gupd officer reported that anunknown subject attempted tosteal a bicycle,21-000995,2021-09-17,1832,leavey centerbicycle rack(tondorf road),case pending investigation,2021,2021
2021-09-19,simple assault,a student reported that they werephysically assaulted,21-001007,2021-09-19,0128,new south hall,case closed with arrestccn: 21-135248,2021,2021
2021-09-19,burglary ii / destructionof property,a gupd officer reported that anunknown subject gained access toa secured area and destroyeduniversity property,NA,2021-09-19,0230,village c west,case closed with arrestccn: 21-135248,2021,2021
2021-09-20,fondling,a gu affiliate reported that theywere physically assaulted,title ix - 838,1984-10-01,NA,icc,NA,1984,2021
2021-09-20,burglary,a gu student reported that keysand an electronic item were takenfrom their unsecured residence,21-001018,2021-09-19,0145,new south hall,case pending investigation,2021,2021
2021-09-20,destrucction of property,a student reported that anunknown subject vandalized theirbicycle,21-001019,2021-09-18,1200,"3600 block ""n""street northwest",case pending investigation,2021,2021
2021-09-23,theft,a gu affiliate reported the theft ofkoi fish from the pond,21-001057,2021-09-23,2240,white gravenor,case pending investigation,2021,2021
2021-09-25,theft,a student reported the theft of abicycle,21-001068,2021-09-16,0055,leavey bridge,case pending investigation,2021,2021
2021-09-25,theft,a gupd officer reported the theftof traffic cones,21-001081,2021-09-25,2205,library walk,case pending investigation,2021,2021
2021-09-26,unlawful entry /attempted theft,a gupd officer reported that theyobserved two unauthorizedsubjects inside new south hallwho then attempted to steal abicycle,21-001083,2021-09-26,0235,new south hall,case closed subjectsbarred,2021,2021
2021-09-28,fraud,a student reported that they werethe victim of an online scam,21-001104,2021-09-03,2020,school ofcontinuing studies,case handled by mpdccn: 21-133604,2021,2021
2020-09-03,theft ii, dc code 22-3211(b),a student reported the theft of abicycle,NA,"september 2, 2020",1100,darnall hall,NA,2020
